Episode,Metrica 1,Metrica 2,Metrica 3,Metrica 4,Metrica 5,Metrica 6,Metrica 7
28,5.06,3.33,90.0,52.63,15.79,1.1110243021644486,1.34
29,2.5,0.0,93.33,68.42,18.42,0.9481895778515527,1.39
30,8.75,5.0,83.33,47.37,28.95,1.3698697784375502,1.11
31,4.31,3.33,93.33,42.11,23.68,1.0147544116939422,1.34
32,1.5,0.0,95.0,52.63,21.05,0.9660917830792959,1.34
33,8.08,3.33,81.67,60.53,18.42,1.41274118970698,1.32
34,6.53,3.33,86.67,55.26,34.21,1.131370849898476,1.26
35,9.31,8.33,88.33,52.63,21.05,1.0,1.32
36,5.67,1.67,86.67,44.74,15.79,0.9921567416492215,1.42
37,6.11,5.0,91.67,68.42,23.68,1.2575574157800322,1.21
38,5.75,3.33,90.0,60.53,18.42,0.9481895778515527,1.42
39,4.42,0.0,86.67,60.53,18.42,1.2164327506428902,1.34
40,5.06,1.67,90.0,65.79,23.68,1.2575574157800324,1.37
41,5.42,5.0,93.33,60.53,23.68,1.0147544116939422,1.29
42,3.61,1.67,93.33,44.74,26.32,1.3014905113063286,1.29
43,5.14,1.67,88.33,47.37,26.32,1.3014905113063286,1.29
44,4.22,1.67,90.0,63.16,10.53,1.0017286097603766,1.37
45,3.47,1.67,93.33,39.47,21.05,1.2649110640673518,1.26
46,4.67,1.67,88.33,42.11,21.05,1.2110601416389966,1.32
47,6.67,3.33,86.67,44.74,15.79,1.0825317547305484,1.47
48,7.14,5.0,88.33,42.11,23.68,0.9443492370778727,1.32
49,3.06,1.67,93.33,50.0,18.42,1.0756988387440687,1.34
50,2.92,0.0,91.67,26.32,21.05,1.0645812948447542,1.42
51,6.72,5.0,90.0,47.37,23.68,0.9801841657621996,1.34
52,5.69,3.33,90.0,47.37,26.32,1.124858267715973,1.21
53,2.56,1.67,95.0,44.74,26.32,0.9147320339189784,1.34
54,6.39,3.33,90.0,36.84,28.95,1.2862041003100253,1.37
55,4.92,1.67,86.67,50.0,21.05,0.9309493362512627,1.45
56,3.22,0.0,88.33,50.0,28.95,0.9558139185602919,1.37
57,3.33,0.0,90.0,60.53,21.05,1.4142135623730951,1.18
58,5.0,3.33,91.67,57.89,18.42,1.1621860344936659,1.32
59,4.78,1.67,88.33,57.89,26.32,0.9147320339189784,1.29
60,7.22,5.0,90.0,52.63,23.68,0.9443492370778727,1.42
61,4.17,1.67,91.67,50.0,21.05,1.3662601021279464,1.39
62,5.97,3.33,90.0,44.74,28.95,1.1653431646335017,1.26
63,3.39,1.67,93.33,47.37,23.68,0.9801841657621997,1.34
64,6.11,3.33,86.67,55.26,26.32,1.2453996981544784,1.24
65,6.31,1.67,83.33,47.37,21.05,0.816496580927726,1.39
66,4.72,1.67,90.0,71.05,28.95,1.227262335243029,1.26
67,10.19,6.67,83.33,57.89,18.42,1.0139505577743038,1.45
68,3.89,1.67,93.33,44.74,18.42,1.4796574117651244,1.26
69,6.25,1.67,88.33,50.0,13.16,1.057571416158494,1.37
70,2.92,0.0,93.33,63.16,23.68,1.311251954609072,1.24
71,5.56,3.33,91.67,52.63,15.79,0.8569568250501305,1.34
72,7.08,3.33,88.33,39.47,31.58,1.2015768732164085,1.34
73,7.5,5.0,88.33,60.53,15.79,1.0231690964840563,1.42
74,7.83,6.67,88.33,47.37,28.95,1.3698697784375502,1.42
75,5.0,3.33,93.33,55.26,18.42,1.0756988387440687,1.34
76,3.19,1.67,93.33,44.74,31.58,1.2015768732164085,1.26
77,8.11,3.33,85.0,63.16,18.42,0.9135356295810512,1.32
78,9.0,5.0,83.33,28.95,13.16,1.242054638298133,1.26
79,5.06,3.33,91.67,36.84,34.21,1.2649110640673518,1.29
80,3.61,1.67,93.33,47.37,28.95,1.2570787221094177,1.32
81,5.83,5.0,91.67,68.42,18.42,0.8006241061929583,1.37
82,4.0,1.67,90.0,52.63,21.05,1.1832159566199232,1.32
83,5.81,3.33,88.33,47.37,26.32,0.9147320339189785,1.26
84,4.56,0.0,85.0,52.63,18.42,0.9816209067550282,1.32
85,3.61,1.67,93.33,42.11,23.68,1.112035551489455,1.42
86,13.89,11.67,83.33,39.47,26.32,1.2453996981544784,1.29
87,3.25,0.0,91.67,47.37,21.05,1.1547005383792515,1.39
88,7.08,3.33,88.33,55.26,21.05,1.3165611772087666,1.32
89,5.69,1.67,88.33,55.26,28.95,1.0999438818457408,1.45
90,5.14,3.33,91.67,60.53,21.05,1.2382783747337807,1.42
91,4.17,0.0,90.0,47.37,21.05,1.0954451150103321,1.37
92,9.22,6.67,86.67,39.47,23.68,1.0147544116939422,1.42
93,5.42,5.0,93.33,50.0,10.53,1.164646463130784,1.39
94,6.17,1.67,86.67,44.74,26.32,1.5971914124998499,1.21
95,2.83,0.0,91.67,44.74,23.68,1.1120355514894549,1.37
96,2.22,1.67,96.67,55.26,21.05,0.9309493362512627,1.39
97,4.72,0.0,86.67,65.79,18.42,1.189618639650695,1.42
98,8.61,6.67,88.33,36.84,28.95,1.0999438818457405,1.32
99,5.97,3.33,90.0,47.37,31.58,1.135755620017954,1.21
100,3.39,1.67,93.33,42.11,21.05,1.1832159566199232,1.34
101,2.5,0.0,93.33,68.42,26.32,1.0926470386270253,1.29
102,7.5,5.0,88.33,68.42,28.95,0.9938079899999065,1.39
103,5.56,3.33,91.67,50.0,21.05,1.3165611772087666,1.24
104,3.33,1.67,93.33,73.68,31.58,1.4079234782863943,1.21
105,2.83,1.67,95.0,57.89,31.58,1.5384615384615385,1.26
106,4.86,1.67,90.0,42.11,23.68,1.048185114039356,1.34
107,7.22,3.33,86.67,60.53,15.79,0.81967981553775,1.34
108,3.53,1.67,91.67,71.05,26.32,1.273753892866215,1.32
109,10.56,5.0,78.33,55.26,31.58,1.2015768732164085,1.39
110,2.14,0.0,93.33,73.68,34.21,1.673320053068151,1.24
111,3.06,1.67,93.33,60.53,26.32,1.0594569267279519,1.37
112,7.22,5.0,90.0,50.0,26.32,1.0251928638862375,1.34
113,5.94,3.33,88.33,52.63,28.95,0.9938079899999065,1.42
114,5.75,5.0,91.67,63.16,23.68,1.2575574157800324,1.34
115,7.75,5.0,86.67,50.0,21.05,1.2909944487358056,1.24
116,7.78,5.0,86.67,65.79,21.05,1.390443574307614,1.34
117,6.25,3.33,88.33,57.89,26.32,1.2163847404233146,1.32
118,3.06,1.67,95.0,42.11,15.79,0.9270248108869579,1.37
119,3.19,1.67,93.33,50.0,23.68,0.9801841657621997,1.24
120,3.33,1.67,95.0,63.16,28.95,1.3425606637327303,1.32
121,5.89,3.33,90.0,55.26,23.68,1.048185114039356,1.34
122,5.83,3.33,90.0,50.0,26.32,1.2163847404233143,1.34
123,9.72,6.67,85.0,47.37,15.79,1.4306903927824497,1.37
124,4.78,1.67,90.0,42.11,18.42,0.9135356295810512,1.37
125,8.25,5.0,85.0,52.63,23.68,1.112035551489455,1.29
126,3.47,1.67,93.33,47.37,23.68,1.0147544116939422,1.37
127,8.67,6.67,88.33,50.0,26.32,1.1561724325884748,1.26
128,3.47,1.67,93.33,50.0,23.68,1.1426235535021305,1.37
129,3.47,1.67,93.33,55.26,18.42,1.0139505577743038,1.42
130,6.25,5.0,91.67,68.42,26.32,1.1866605518454394,1.21
131,4.58,3.33,91.67,52.63,21.05,1.0645812948447542,1.32
132,7.64,5.0,88.33,50.0,26.32,1.5518257844571737,1.24
133,3.25,1.67,93.33,47.37,18.42,1.1621860344936659,1.32
134,3.75,1.67,93.33,39.47,26.32,1.2453996981544784,1.34
135,5.56,1.67,86.67,57.89,31.58,1.4079234782863943,1.24
136,6.72,5.0,90.0,47.37,28.95,1.3146843962443593,1.32
137,7.22,5.0,88.33,52.63,28.95,1.5713484026367723,1.21
138,6.08,3.33,88.33,52.63,21.05,1.4605934866804429,1.29
139,6.58,3.33,86.67,39.47,28.95,1.6405358955814888,1.29
140,9.5,5.0,81.67,47.37,18.42,1.0756988387440687,1.37
141,1.44,0.0,95.0,42.11,23.68,1.112035551489455,1.34
142,6.11,3.33,90.0,50.0,28.95,1.8121673811444543,1.24
143,1.58,0.0,95.0,55.26,36.84,1.2583057392117916,1.29
144,4.64,0.0,86.67,47.37,23.68,0.9070997543424764,1.34
145,2.64,1.67,95.0,42.11,26.32,1.1561724325884748,1.32
146,10.14,6.67,83.33,50.0,21.05,1.1547005383792515,1.37
147,3.67,1.67,91.67,50.0,34.21,1.2328828005937953,1.37
148,5.0,3.33,91.67,60.53,31.58,1.5876744185038687,1.21
149,8.25,5.0,85.0,44.74,21.05,1.0954451150103321,1.32
150,7.22,5.0,90.0,52.63,26.32,1.3286482312670198,1.26
151,6.11,3.33,88.33,39.47,26.32,1.3014905113063284,1.34
152,4.03,1.67,91.67,42.11,26.32,1.355261854357877,1.39
153,4.86,1.67,90.0,52.63,34.21,1.4142135623730951,1.32
154,8.89,5.0,85.0,47.37,13.16,1.1134044285378082,1.29
155,7.08,5.0,88.33,36.84,31.58,1.1691295502746666,1.21
156,2.78,1.67,95.0,31.58,18.42,1.2164327506428905,1.34
157,3.94,1.67,90.0,44.74,34.21,1.5748015748023623,1.34
158,6.72,3.33,85.0,57.89,26.32,1.2453996981544782,1.24
159,2.64,1.67,95.0,55.26,18.42,0.9816209067550282,1.34
160,3.89,1.67,93.33,52.63,28.95,1.1967032904743342,1.29
161,3.94,1.67,91.67,68.42,28.95,1.2570787221094177,1.32
162,6.11,3.33,88.33,57.89,28.95,1.1967032904743342,1.37
163,8.11,5.0,86.67,42.11,21.05,1.0645812948447542,1.37
164,3.11,0.0,91.67,57.89,18.42,1.1896186396506951,1.29
165,2.78,0.0,93.33,36.84,21.05,1.390443574307614,1.29
166,5.75,0.0,83.33,52.63,26.32,1.273753892866215,1.32
167,3.75,1.67,93.33,42.11,23.68,1.3372909951493324,1.34
168,9.58,3.33,80.0,36.84,26.32,1.3813628289866942,1.24
169,5.97,3.33,90.0,57.89,18.42,1.1621860344936659,1.32
170,2.92,0.0,91.67,44.74,23.68,1.4367356314482522,1.34
171,9.03,6.67,86.67,52.63,21.05,1.2909944487358056,1.32
172,6.67,3.33,88.33,52.63,15.79,0.81967981553775,1.29
173,9.22,5.0,83.33,57.89,31.58,1.294046449327748,1.26
174,6.39,3.33,88.33,57.89,21.05,1.0327955589886444,1.34
175,4.44,1.67,90.0,50.0,26.32,1.2453996981544782,1.37
176,7.92,3.33,85.0,36.84,21.05,1.2909944487358056,1.39
177,4.92,1.67,90.0,71.05,21.05,1.2110601416389966,1.29
178,3.75,1.67,93.33,50.0,23.68,1.1426235535021305,1.34
179,10.47,8.33,85.0,50.0,15.79,1.1388041973930374,1.26
180,4.22,1.67,90.0,50.0,13.16,0.9359663764533637,1.37
181,2.0,1.67,96.67,52.63,21.05,1.2649110640673518,1.39
182,6.25,3.33,90.0,68.42,15.79,1.2686114456365274,1.34
183,3.61,0.0,90.0,36.84,18.42,1.1621860344936659,1.39
184,9.72,5.0,83.33,55.26,31.58,1.6817854699288803,1.26
185,5.97,3.33,90.0,57.89,26.32,0.9529760045804525,1.37
186,3.33,0.0,91.67,36.84,26.32,1.4811743823805517,1.32
187,10.0,8.33,88.33,73.68,23.68,1.112035551489455,1.42
188,5.61,3.33,90.0,52.63,18.42,1.1052801096136655,1.32
189,7.78,5.0,85.0,36.84,31.58,1.6354070481130232,1.13
190,6.11,3.33,88.33,44.74,31.58,1.1013708510212579,1.26
191,3.19,0.0,91.67,57.89,21.05,1.3165611772087666,1.29
192,6.22,5.0,90.0,57.89,23.68,1.112035551489455,1.29
193,3.06,0.0,91.67,42.11,26.32,1.3014905113063286,1.29
194,6.58,3.33,86.67,50.0,23.68,1.7406109605688223,1.26
195,3.58,1.67,91.67,39.47,31.58,1.3234346564680965,1.24
196,4.72,1.67,90.0,55.26,28.95,1.030402055055078,1.45
197,2.22,0.0,93.33,50.0,26.32,1.6413036132965795,1.29
198,7.64,5.0,88.33,47.37,28.95,1.3966450099973928,1.26
199,10.06,6.67,85.0,42.11,23.68,1.2298313448363454,1.18
200,5.14,1.67,90.0,57.89,26.32,0.9897433186107871,1.24
201,7.5,3.33,85.0,60.53,28.95,1.0999438818457405,1.29
202,4.5,3.33,91.67,47.37,15.79,1.0825317547305484,1.42
203,2.06,0.0,91.67,50.0,28.95,1.4740554623801776,1.26
204,2.22,0.0,95.0,60.53,23.68,1.2846852420825625,1.39
205,7.08,5.0,88.33,57.89,21.05,1.2909944487358056,1.21
206,5.97,3.33,90.0,65.79,31.58,1.2331707339908768,1.32
207,4.03,1.67,91.67,52.63,31.58,1.294046449327748,1.26
208,2.22,0.0,91.67,63.16,21.05,1.0645812948447542,1.26
209,3.67,1.67,93.33,42.11,21.05,0.9309493362512627,1.29
210,8.19,5.0,86.67,52.63,28.95,1.1653431646335017,1.45
211,4.17,0.0,88.33,78.95,26.32,1.3014905113063284,1.34
212,3.89,1.67,93.33,60.53,28.95,1.3698697784375502,1.34
213,9.03,6.67,86.67,50.0,15.79,1.192424001771182,1.39
214,2.78,0.0,91.67,50.0,28.95,1.227262335243029,1.32
215,8.33,5.0,85.0,42.11,26.32,1.3813628289866942,1.18
216,9.58,5.0,81.67,39.47,18.42,1.0139505577743038,1.42
217,3.06,0.0,93.33,68.42,26.32,1.7467170372339265,1.21
218,2.56,0.0,91.67,55.26,23.68,0.9070997543424764,1.24
219,3.33,1.67,93.33,42.11,28.95,1.594744454934147,1.26
220,3.89,1.67,91.67,52.63,34.21,1.7435595774162693,1.18
221,7.08,5.0,90.0,57.89,21.05,1.0954451150103321,1.29
222,3.06,1.67,95.0,63.16,23.68,0.9070997543424764,1.34
223,8.06,5.0,86.67,60.53,42.11,1.9582417480489105,1.24
224,4.86,1.67,90.0,44.74,26.32,1.64130361329658,1.34
225,3.67,1.67,91.67,50.0,26.32,1.4811743823805517,1.29
226,6.39,3.33,90.0,55.26,26.32,1.1561724325884748,1.39
227,9.36,3.33,80.0,47.37,34.21,1.296148139681572,1.37
228,4.03,1.67,91.67,63.16,18.42,1.0452807578077195,1.32
229,10.0,5.0,81.67,55.26,31.58,1.4876215081395168,1.32
230,11.25,8.33,85.0,55.26,28.95,1.257078722109418,1.24
231,5.83,3.33,90.0,34.21,15.79,1.0231690964840563,1.37
232,4.03,1.67,91.67,57.89,21.05,1.0,1.39
233,1.17,0.0,96.67,42.11,28.95,1.4229164972072998,1.34
234,4.92,1.67,88.33,52.63,23.68,1.048185114039356,1.47
235,5.89,1.67,86.67,50.0,26.32,1.0926470386270253,1.34
236,10.69,8.33,83.33,44.74,34.21,1.3266499161421599,1.34
237,4.56,1.67,90.0,44.74,23.68,1.2575574157800324,1.39
238,7.64,5.0,88.33,57.89,23.68,1.1426235535021305,1.37
239,1.67,1.67,98.33,47.37,26.32,1.505093393264677,1.37
240,10.83,8.33,83.33,42.11,23.68,1.1724137931034484,1.26
241,6.58,3.33,88.33,39.47,21.05,0.8563488385776752,1.5
242,4.17,0.0,88.33,42.11,23.68,1.6173847447666996,1.29
243,7.08,5.0,90.0,57.89,31.58,1.1013708510212579,1.34
244,2.22,1.67,96.67,57.89,28.95,1.4740554623801778,1.26
245,5.47,1.67,88.33,44.74,31.58,1.3234346564680965,1.32
246,3.67,1.67,91.67,39.47,23.68,1.2298313448363454,1.32
247,6.58,5.0,90.0,36.84,28.95,1.547598697464902,1.32
248,7.0,3.33,86.67,47.37,21.05,1.2110601416389966,1.32
249,8.03,3.33,83.33,44.74,21.05,1.0954451150103321,1.26
250,3.75,1.67,93.33,26.32,34.21,1.8973665961010275,1.21
251,5.0,3.33,93.33,60.53,26.32,1.4811743823805514,1.24
252,6.17,3.33,88.33,39.47,34.21,1.3856406460551016,1.29
253,4.83,3.33,91.67,44.74,23.68,1.2298313448363454,1.42
254,5.42,1.67,86.67,52.63,18.42,1.0139505577743038,1.42
255,7.08,3.33,86.67,52.63,28.95,1.4229164972072998,1.18
256,7.78,6.67,90.0,57.89,23.68,1.2575574157800322,1.29
257,6.81,5.0,88.33,60.53,18.42,1.3182462414001643,1.26
258,9.28,5.0,81.67,47.37,26.32,1.4321384039831015,1.34
259,2.92,0.0,93.33,50.0,28.95,1.4229164972072998,1.32
260,6.94,3.33,86.67,36.84,23.68,1.1426235535021305,1.32
261,2.08,0.0,95.0,42.11,31.58,1.3803352649943357,1.26
262,7.78,5.0,86.67,47.37,31.58,1.6354070481130232,1.26
263,1.94,0.0,95.0,60.53,28.95,1.257078722109418,1.34
264,5.69,3.33,90.0,52.63,26.32,1.273753892866215,1.34
265,4.36,1.67,88.33,52.63,21.05,1.2909944487358056,1.39
266,7.0,3.33,85.0,55.26,31.58,1.587674418503869,1.39
267,5.97,5.0,91.67,42.11,28.95,0.9938079899999065,1.34
268,4.83,3.33,90.0,57.89,36.84,1.8257418583505538,1.29
269,4.5,1.67,90.0,47.37,26.32,1.381362828986694,1.26
270,1.39,0.0,96.67,60.53,26.32,1.2453996981544784,1.24
271,6.39,3.33,86.67,52.63,26.32,1.2453996981544784,1.26
272,7.56,3.33,83.33,55.26,36.84,1.5545631755148024,1.24
273,6.31,1.67,86.67,63.16,34.21,1.414213562373095,1.26
274,1.94,0.0,93.33,50.0,26.32,1.3813628289866942,1.29
275,3.33,1.67,93.33,60.53,21.05,1.505545305418162,1.34
276,5.42,1.67,88.33,55.26,42.11,1.5719651332536893,1.21
277,9.22,5.0,83.33,36.84,31.58,1.8138194034694763,1.29
278,5.83,5.0,93.33,57.89,26.32,1.2737538928662149,1.32
279,5.83,3.33,88.33,76.32,28.95,1.7069212773041351,1.24
280,8.75,5.0,85.0,57.89,26.32,1.273753892866215,1.42
281,1.39,0.0,95.0,44.74,26.32,1.4568627181693672,1.29
282,7.22,5.0,88.33,44.74,28.95,1.6850834320114556,1.13
283,3.89,1.67,91.67,68.42,34.21,1.296148139681572,1.37
284,8.81,6.67,85.0,50.0,39.47,2.058685322043776,1.18
285,6.39,5.0,91.67,55.26,31.58,1.611717449212074,1.18
286,6.67,1.67,85.0,42.11,28.95,1.1331154474650633,1.29
287,7.22,6.67,91.67,52.63,23.68,1.2575574157800324,1.39
288,7.28,3.33,86.67,39.47,26.32,1.1866605518454394,1.37
289,4.44,3.33,93.33,34.21,26.32,1.3014905113063284,1.32
290,2.5,1.67,96.67,52.63,21.05,1.390443574307614,1.29
291,8.47,5.0,85.0,52.63,34.21,1.5491933384829668,1.18
292,9.64,6.67,85.0,52.63,18.42,1.4127411897069797,1.39
293,9.78,5.0,83.33,44.74,21.05,1.1254628677422756,1.29
294,3.11,0.0,90.0,65.79,26.32,1.355261854357877,1.32
295,2.22,0.0,95.0,31.58,31.58,1.4349813927828945,1.24
296,4.58,3.33,93.33,44.74,34.21,1.0954451150103321,1.29
297,5.61,3.33,88.33,63.16,31.58,1.6587583579113714,1.24
298,7.19,1.67,81.67,52.63,21.05,1.1832159566199232,1.32
299,5.97,1.67,86.67,55.26,15.79,0.8926785535678563,1.32
300,4.72,3.33,91.67,65.79,44.74,1.2453996981544782,1.26
301,7.78,5.0,86.67,60.53,23.68,1.2014656131161618,1.32
302,6.81,5.0,90.0,57.89,23.68,1.1724137931034482,1.37
303,6.11,3.33,90.0,65.79,28.95,1.3698697784375504,1.18
304,5.42,5.0,93.33,60.53,28.95,1.4487116456005886,1.34
305,12.33,10.0,83.33,52.63,31.58,0.72160242458822,1.29
306,4.64,0.0,85.0,50.0,26.32,1.3286482312670198,1.29
307,6.67,5.0,91.67,63.16,36.84,1.5275252316519468,1.26
308,5.83,3.33,91.67,63.16,31.58,1.3803352649943355,1.32
309,11.25,5.0,76.67,65.79,21.05,1.0954451150103321,1.39
310,5.97,3.33,90.0,63.16,28.95,1.1653431646335017,1.42
311,5.42,1.67,86.67,39.47,26.32,1.4568627181693672,1.29
312,7.97,5.0,86.67,57.89,28.95,1.4740554623801778,1.32
313,6.81,5.0,90.0,73.68,18.42,1.0452807578077192,1.24
314,3.33,1.67,95.0,63.16,23.68,1.2298313448363454,1.32
315,6.72,1.67,85.0,73.68,28.95,1.4229164972072998,1.32
316,7.97,6.67,88.33,60.53,34.21,1.4142135623730951,1.29
317,6.39,3.33,88.33,60.53,28.95,1.3966450099973928,1.34
318,5.14,1.67,88.33,68.42,36.84,1.707825127659933,1.24
319,2.92,0.0,91.67,42.11,31.58,1.3521842947113034,1.26
320,4.03,1.67,91.67,50.0,28.95,1.1653431646335017,1.39
321,3.33,1.67,95.0,55.26,23.68,1.1426235535021305,1.37
322,4.14,1.67,90.0,65.79,28.95,1.0999438818457405,1.29
323,4.58,1.67,90.0,78.95,28.95,1.3425606637327303,1.26
324,5.14,0.0,86.67,68.42,28.95,1.286204100310025,1.24
325,6.44,5.0,90.0,44.74,21.05,1.390443574307614,1.29
326,4.58,0.0,85.0,47.37,31.58,1.2639751327042297,1.18
327,5.42,5.0,93.33,57.89,26.32,1.1561724325884748,1.34
328,9.92,5.0,81.67,57.89,31.58,1.6587583579113714,1.32
329,4.72,3.33,91.67,55.26,18.42,1.2164327506428905,1.34
330,2.92,1.67,95.0,57.89,31.58,1.4349813927828945,1.29
331,13.06,8.33,80.0,60.53,39.47,1.882161810601162,1.21
332,5.06,1.67,88.33,42.11,31.58,1.2331707339908766,1.26
333,5.42,1.67,90.0,60.53,21.05,1.2909944487358056,1.26
334,4.17,3.33,95.0,55.26,28.95,1.498970840359116,1.21
335,2.78,1.67,95.0,47.37,31.58,1.294046449327748,1.32
336,5.97,5.0,91.67,65.79,31.58,1.5632616486847366,1.34
337,11.25,8.33,81.67,50.0,34.21,1.7888543819998315,1.24
338,3.75,3.33,95.0,68.42,31.58,1.611717449212074,1.26
339,4.44,1.67,91.67,42.11,23.68,1.4367356314482522,1.34
340,7.78,5.0,88.33,73.68,21.05,1.2382783747337807,1.26
341,7.28,3.33,86.67,47.37,28.95,1.571348402636772,1.32
342,7.42,5.0,88.33,55.26,31.58,1.4615384615384615,1.26
343,4.17,1.67,91.67,52.63,34.21,1.5491933384829668,1.18
344,6.44,3.33,86.67,65.79,23.68,1.4125309757423479,1.32
345,5.0,3.33,93.33,63.16,36.84,1.5,1.21
346,4.17,3.33,95.0,34.21,34.21,1.2328828005937953,1.34
347,6.94,5.0,90.0,55.26,34.21,1.5231546211727816,1.21
348,1.17,0.0,96.67,47.37,28.95,1.3425606637327303,1.26
349,5.83,0.0,83.33,39.47,23.68,1.1426235535021305,1.32
350,8.89,6.67,86.67,68.42,31.58,1.4079234782863943,1.37
351,4.44,1.67,90.0,52.63,26.32,1.5746719775034717,1.29
352,5.56,3.33,91.67,50.0,34.21,1.385640646055102,1.34
353,5.0,5.0,95.0,50.0,31.58,1.3234346564680965,1.32
354,5.97,3.33,88.33,52.63,26.32,1.0926470386270253,1.26
355,8.75,5.0,85.0,42.11,36.84,1.3228756555322954,1.18
356,6.58,1.67,83.33,60.53,28.95,1.5713484026367723,1.32
357,6.11,1.67,88.33,84.21,26.32,1.355261854357877,1.24
358,3.06,1.67,95.0,52.63,31.58,1.3803352649943357,1.34
359,4.44,1.67,91.67,52.63,28.95,1.3698697784375504,1.24
360,8.19,5.0,86.67,57.89,28.95,1.5234788000891208,1.24
361,4.72,1.67,88.33,57.89,23.68,1.2846852420825625,1.37
362,5.89,3.33,88.33,39.47,28.95,1.1967032904743342,1.24
363,6.39,3.33,90.0,68.42,34.21,1.4422205101855958,1.32
364,6.94,1.67,86.67,68.42,28.95,1.547598697464902,1.21
365,2.78,0.0,91.67,60.53,36.84,1.7795130420052185,1.24
366,2.36,0.0,93.33,57.89,18.42,1.0139505577743038,1.39
367,6.25,1.67,86.67,55.26,28.95,1.314684396244359,1.39
368,2.78,0.0,91.67,52.63,36.84,1.2583057392117916,1.32
369,8.11,5.0,85.0,57.89,31.58,2.266295363485575,1.16
370,6.94,5.0,90.0,52.63,36.84,1.7559422921421233,1.24
371,1.81,0.0,95.0,57.89,36.84,1.4719601443879744,1.16
372,6.39,3.33,86.67,60.53,36.84,1.6583123951777,1.26
373,3.53,0.0,90.0,76.32,34.21,1.7663521732655691,1.13
374,5.97,5.0,91.67,60.53,36.84,1.4719601443879744,1.26
375,6.39,3.33,88.33,63.16,28.95,1.1967032904743342,1.37
376,3.33,1.67,95.0,63.16,23.68,1.4605392127274048,1.34
377,3.89,1.67,93.33,68.42,36.84,1.5275252316519468,1.24
378,4.83,1.67,90.0,55.26,34.21,1.6970562748477138,1.24
379,2.5,1.67,95.0,55.26,36.84,1.8929694486000912,1.18
380,3.33,1.67,95.0,60.53,34.21,1.4966629547095764,1.29
381,6.53,3.33,88.33,50.0,23.68,1.2846852420825625,1.29
382,6.81,3.33,86.67,63.16,39.47,1.3101321020277708,1.26
383,7.08,3.33,88.33,44.74,18.42,1.3424936804312781,1.39
384,3.11,1.67,93.33,68.42,34.21,1.8110770276274832,1.29
385,6.81,5.0,90.0,47.37,28.95,1.257078722109418,1.32
386,7.78,5.0,88.33,52.63,31.58,1.4876215081395168,1.26
387,8.19,3.33,85.0,55.26,31.58,1.2331707339908766,1.18
388,8.72,3.33,81.67,57.89,28.95,1.4229164972072998,1.34
389,5.0,5.0,95.0,65.79,31.58,1.587674418503869,1.34
390,4.78,3.33,91.67,57.89,34.21,1.3564659966250538,1.32
391,1.39,0.0,96.67,52.63,26.32,1.1866605518454396,1.5
392,6.25,1.67,86.67,39.47,28.95,1.4487116456005886,1.18
393,3.31,0.0,88.33,57.89,34.21,1.6,1.24
394,2.36,0.0,93.33,50.0,23.68,1.1426235535021303,1.37
395,5.67,0.0,83.33,65.79,23.68,1.3879042618964212,1.32
396,6.67,1.67,86.67,55.26,34.21,1.6,1.32
397,5.19,1.67,88.33,57.89,42.11,1.8873217720024267,1.08
398,10.67,8.33,83.33,47.37,39.47,1.738043138374494,1.18
399,1.81,0.0,95.0,39.47,21.05,1.390443574307614,1.29
